time,mV
0.0006613,-1.215724578
0.0006627,-1.149576574
0.0006640,-1.168036431
0.0006653,-1.185735186
0.0006667,-1.129144376
0.0006680,-1.232979126
0.0006693,-0.091641173
0.0006707,1.215141482
0.0006720,1.133103281
0.0006733,1.193210617
0.0006747,1.157162726
0.0006760,1.177698755
0.0006773,1.166360597
0.0006787,1.171504556
0.0006800,1.169854575
0.0006813,1.169420448
0.0006827,1.170648967
0.0006840,1.169161598
0.0006853,1.171080531
0.0006867,1.169457867
0.0006880,1.17243385
0.0006893,1.150806534
0.0006907,1.000398247
0.0006920,0.840428024
0.0006933,0.7118697
0.0006947,0.592319792
0.0006960,0.489484702
0.0006973,0.406202744
0.0006987,0.33583809
0.0007000,0.274361957
0.0007013,0.221312017
0.0007027,0.171928159
0.0007040,0.133764226
0.0007053,0.106550391
0.0007067,0.074929682
0.0007080,0.051464464
0.0007093,0.034358273
0.0007107,0.019345001
0.0007120,0.013133717
0.0007133,0.007870514
0.0007147,0.004135104
0.0007160,0.006495782
0.0007173,0.007652515
0.0007187,0.008061589
0.0007200,0.010036942
0.0007213,0.010278848
0.0007227,0.012999515
0.0007240,0.020742368
0.0007253,0.023855816
0.0007267,0.030808611
0.0007280,0.034253776
0.0007293,0.034617115
0.0007307,0.034979081
0.0007320,0.031764024
0.0007333,0.021880266
0.0007347,0.017454571
0.0007360,0.015711882
0.0007373,0.014937861
0.0007387,0.01085674
0.0007400,0.010342782
0.0007413,0.009977021
0.0007427,0.004750259
0.0007440,0.004034971
0.0007453,-0.003740439
0.0007467,-0.00531575
0.0007480,-0.013341123
0.0007493,-0.014062149
0.0007507,-0.011623124
0.0007520,-0.018867635
0.0007533,-0.016123306
0.0007547,-0.015336906
0.0007560,-0.013726861
0.0007573,-0.010445808
0.0007587,-0.012398914
0.0007600,-0.009677926
0.0007613,-0.010949266
0.0007627,-0.014011263
0.0007640,-0.010425793
0.0007653,-0.010572306
0.0007667,-0.013199131
0.0007680,-0.010893072
0.0007693,-0.009074383
0.0007707,-0.013052971
0.0007720,-0.015487261
0.0007733,-0.006256091
0.0007747,-0.003650851
0.0007760,-0.001954276
0.0007773,-0.001483723
0.0007787,-0.000834367
0.0007800,-0.00137548
0.0007813,-0.001791444
0.0007827,-0.006081328
0.0007840,-0.010179034
0.0007853,-0.008356474
0.0007867,-0.004961893
0.0007880,-0.007766582
0.0007893,-0.010586084
0.0007907,-0.011269696
0.0007920,-0.009481113
0.0007933,-0.00415401
0.0007947,-0.007150078
0.0007960,-0.006608983
0.0007973,-0.003616774
0.0007987,-0.009665738
0.0008000,-0.013439571
0.0008013,-0.005159444
0.0008027,-0.005847505
0.0008040,-0.002278315
0.0008053,-0.001365134
0.0008067,-0.008995124
0.0008080,-0.008391129
0.0008093,-0.010343224
0.0008107,-0.007670307
0.0008120,-0.007064643
0.0008133,-0.007508524
0.0008147,-0.006402171
0.0008160,-0.006054355
0.0008173,-0.004353026
0.0008187,-0.007803094
0.0008200,-0.00959988
0.0008213,-0.009975803
0.0008227,-0.004861477
0.0008240,-0.00445434
0.0008253,-0.003192782
0.0008267,-0.002129728
0.0008280,-0.005680651
0.0008293,-0.004889413
0.0008307,-0.002984777
0.0008320,-0.005146537
0.0008333,-0.003886511
0.0008347,-0.001850181
0.0008360,-0.002496075
0.0008373,-0.007929433
0.0008387,-0.006917246
0.0008400,-0.003495416
0.0008413,-0.002134477
0.0008427,-0.002732625
0.0008440,-0.006869538
0.0008453,-0.004793229
0.0008467,-0.003107299
0.0008480,-0.005843921
0.0008493,-0.007466267
0.0008507,-0.006258086
0.0008520,-0.007195087
0.0008533,-0.009069068
0.0008547,-0.012427092
0.0008560,-0.010742288
0.0008573,-0.006961895
0.0008587,-0.002715615
0.0008600,-0.0033739
0.0008613,-0.004661715
0.0008627,-0.007396911
0.0008640,-0.00929291
0.0008653,-0.005293331
0.0008667,-0.005806069
0.0008680,-0.011290902
0.0008693,-0.011903871
0.0008707,-0.009723018
0.0008720,-0.006061083
0.0008733,-0.003600684
0.0008747,-0.002968416
0.0008760,0.000743044
0.0008773,0.000149527
0.0008787,9.33E-05
0.0008800,0.000945854
0.0008813,0.000904338
0.0008827,0.000139803
0.0008840,-0.004076882
0.0008853,-0.005254737
0.0008867,-0.008644339
0.0008880,-0.010335798
0.0008893,-0.010446546
0.0008907,-0.005898091
0.0008920,-0.00454705
0.0008933,-0.006834428
0.0008947,-0.009522135
0.0008960,-0.008104063
0.0008973,-0.006121736
0.0008987,-0.007231597
0.0009000,-0.007368782
0.0009013,-0.01063964
0.0009027,-0.012195852
0.0009040,-0.01146218
0.0009053,-0.008970602
0.0009067,-0.00942109
0.0009080,-0.007340333
0.0009093,-0.006813962
0.0009107,-0.002580455
0.0009120,0.003348479
0.0009133,0.005447134
0.0009147,0.005848695
0.0009160,0.00055658
0.0009173,-0.002492509
0.0009187,-0.002653194
0.0009200,-0.003490945
0.0009213,-0.003455803
0.0009227,-0.008330108
0.0009240,-0.005894981
0.0009253,-0.003490432
0.0009267,-0.001717728
0.0009280,-0.002372575
0.0009293,-0.005237559
0.0009307,-0.002244607
0.0009320,-0.002804151
0.0009333,0.000281275
0.0009347,-0.007714249
0.0009360,-0.01185464
0.0009373,-0.007148959
0.0009387,-0.006051042
0.0009400,-0.007864678
0.0009413,-0.009968448
0.0009427,-0.012520131
0.0009440,-0.00968754
0.0009453,-0.007533496
0.0009467,-0.008136977
0.0009480,-0.010029473
0.0009493,-0.007580752
0.0009507,-0.006323979
0.0009520,-0.004151681
0.0009533,0.000263428
0.0009547,-0.0023606
0.0009560,-0.000745546
0.0009573,0.0023038
0.0009587,-0.000890303
0.0009600,-0.000117629
0.0009613,-0.007886331
0.0009627,-0.004145272
0.0009640,-0.005318576
